City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Banda Aceh,ID,5.5577,95.3222,80.17,79,100,5.97,overcast clouds
111,Krasnoselkup,RU,65.7,82.4667,62.76,79,42,1.52,moderate rain
112,Salalah,OM,17.0151,54.0924,86.09,84,40,11.5,scattered clouds
113,Porosozero,RU,62.7191,32.727,46.22,94,100,8.43,overcast clouds
114,Castro,BR,-24.7911,-50.0119,72.07,44,0,3.87,clear sky
115,Taksimo,RU,56.3444,114.8794,59.85,72,76,1.32,broken clouds
116,Sompeta,IN,18.9333,84.6,82.65,86,96,11.88,overcast clouds
117,Torbay,CA,47.6666,-52.7314,68.88,60,20,12.66,few clouds
118,Richards Bay,ZA,-28.783,32.0377,57.36,68,3,6.17,clear sky
119,Dangara,IN,29.6799,75.8931,96.76,26,12,6.26,few clouds
120,Charters Towers,AU,-20.1,146.2667,60.8,71,1,9.69,clear sky
121,Yumen,CN,40.2833,97.2,78.67,13,90,13.4,overcast clouds
122,Sao Filipe,CV,14.8961,-24.4956,75.54,79,88,8.08,overcast clouds
123,Iqaluit,CA,63.7506,-68.5145,42.53,56,40,20.71,scattered clouds
124,Yerbogachen,RU,61.2767,108.0108,60.46,69,24,8.99,few clouds
125,Parati,BR,-23.2178,-44.7131,76.46,55,0,3.89,clear sky
126,Sharan,RU,54.8167,54.0,64.2,88,73,4.45,light rain
127,Panama City,PA,8.9936,-79.5197,87.93,73,20,12.66,few clouds
128,Luderitz,NA,-26.6481,15.1594,59.31,53,6,9.19,clear sky
129,Savannakhet,LA,16.566,104.751,82.38,74,100,0.47,overcast clouds
130,Grand Gaube,MU,-20.0064,57.6608,74.37,66,35,5.99,scattered clouds
131,Yizheng,CN,24.6706,103.4296,59.4,99,100,4.38,overcast clouds
132,Port Alfred,ZA,-33.5906,26.891,57.16,65,73,7.4,broken clouds
133,Asau,RO,46.4333,26.4,74.32,70,83,2.13,broken clouds
134,Hambantota,LK,6.1241,81.1185,80.15,79,100,12.55,light rain
135,Atuona,PF,-9.8,-139.0333,78.67,64,75,19.62,broken clouds
136,Kusti,SD,13.1629,32.6635,97.0,25,99,2.3,overcast clouds
137,San Ignacio,BZ,17.1561,-89.0714,82.54,78,75,0.0,broken clouds
138,Seymchan,RU,62.8833,152.4333,50.92,78,63,2.62,broken clouds
139,Huaraz,PE,-9.5333,-77.5333,63.84,38,9,3.22,clear sky
140,Mar Del Plata,AR,-38.0023,-57.5575,53.1,79,75,5.75,broken clouds
141,New Norfolk,AU,-42.7826,147.0587,43.72,89,37,2.77,scattered clouds
142,Williams Lake,CA,52.1415,-122.1445,58.05,78,100,3.44,overcast clouds
143,Letlhakeng,BW,-24.0944,25.0298,52.34,27,0,7.23,clear sky
144,Rundu,NA,-17.9333,19.7667,64.38,30,0,4.74,clear sky
145,Saint-Augustin,CA,51.226,-58.6502,64.96,60,79,12.12,broken clouds
146,Quatre Cocos,MU,-20.2078,57.7625,74.08,69,49,13.8,scattered clouds
147,Mahibadhoo,MV,3.7833,72.9667,83.41,76,100,14.72,moderate rain
148,Mataura,NZ,-46.1927,168.8643,37.47,94,89,1.79,overcast clouds
149,Sarkand,KZ,45.41,79.9186,61.54,52,11,7.07,few clouds
150,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,65,0,10.36,clear sky
151,Mugan,CN,35.9404,101.3842,58.91,32,50,4.92,scattered clouds
152,Bakchar,RU,57.0186,82.0711,53.17,99,10,4.65,clear sky
153,Saint-Francois,FR,46.4154,3.9054,85.44,39,0,4.61,clear sky
154,Batagay-Alyta,RU,67.8006,130.4114,38.77,89,100,5.28,overcast clouds
155,Florence,IT,43.7667,11.25,92.35,43,0,8.05,clear sky
156,Ponta Do Sol,PT,32.6667,-17.1,76.71,76,37,8.81,scattered clouds
157,Aranos,NA,-24.1333,19.1167,59.81,21,0,9.8,clear sky
158,Terenos,BR,-20.4422,-54.8603,89.31,40,20,13.8,few clouds
159,Dong Xoai,VN,11.5333,106.9167,75.63,96,73,3.83,broken clouds
160,Khandyga,RU,62.6667,135.6,48.09,94,17,0.65,few clouds
161,Kendari,ID,-3.945,122.4989,74.73,95,100,2.08,moderate rain
162,Cap Malheureux,MU,-19.9842,57.6142,74.46,66,32,8.99,scattered clouds
163,Alugan,PH,12.2188,125.4808,80.94,81,18,4.72,few clouds
164,Luoyang,CN,34.6836,112.4536,86.95,28,0,6.78,clear sky
165,Baghdad,IQ,33.3406,44.4009,100.31,16,0,13.8,clear sky
166,Kaukauna,US,44.278,-88.272,80.71,56,0,23.02,clear sky
167,North Platte,US,41.1239,-100.7654,80.98,37,0,15.01,clear sky
168,Avarua,CK,-21.2078,-159.775,73.45,83,29,3.44,scattered clouds
169,Biak,ID,-0.9131,122.8766,76.15,82,100,5.68,overcast clouds
170,Kruisfontein,ZA,-34.0033,24.7314,52.88,46,89,7.11,overcast clouds
171,Barrow,US,71.2906,-156.7887,35.62,93,0,10.36,clear sky
172,Jhanjharpur,IN,26.2667,86.2833,79.75,88,99,10.11,overcast clouds
173,Santa Rosa,PH,14.3122,121.1114,85.01,73,47,4.63,scattered clouds
174,Lookan,PH,5.037,120.1027,81.48,78,87,9.55,overcast clouds
175,Victoria,HK,22.2855,114.1577,84.38,87,88,8.99,overcast clouds
176,Saldanha,ZA,-33.0117,17.9442,62.65,48,99,13.18,overcast clouds
177,Sabinas Hidalgo,MX,26.5,-100.1667,97.09,19,0,19.44,clear sky
178,Westport,US,41.1415,-73.3579,71.1,83,100,10.36,overcast clouds
179,Saint George,US,37.1041,-113.5841,87.64,12,0,3.44,clear sky
180,Sindor,RU,62.8629,51.8905,63.61,64,100,5.35,overcast clouds
181,Tilichiki,RU,60.4667,166.1,42.28,94,97,5.19,overcast clouds
182,Bubaque,GW,11.2833,-15.8333,80.08,82,58,17.18,broken clouds
183,Te Anau,NZ,-45.4167,167.7167,41.4,94,98,1.97,overcast clouds
184,Gilbues,BR,-9.8317,-45.3439,91.54,27,32,6.58,scattered clouds
185,Clyde River,CA,70.4692,-68.5914,32.23,93,100,26.46,light snow
186,Cidreira,BR,-30.1811,-50.2056,67.64,62,31,2.57,scattered clouds
187,Vostok,RU,46.4856,135.8833,52.34,95,47,3.74,scattered clouds
188,Thompson,CA,55.7435,-97.8558,57.36,77,100,14.97,overcast clouds
189,Jiamusi,CN,46.8333,130.35,62.55,90,95,8.57,overcast clouds
190,Forrest City,US,35.0081,-90.7898,91.2,51,1,4.76,clear sky
191,Huarmey,PE,-10.0681,-78.1522,68.11,67,14,14.16,few clouds
192,Banbury,GB,52.0602,-1.3403,80.19,53,98,7.07,overcast clouds
193,Skibbereen,IE,51.55,-9.2667,63.1,73,100,11.59,overcast clouds
194,Pafos,CY,34.7667,32.4167,77.23,83,20,13.8,few clouds
195,Bitung,ID,1.4451,125.1824,76.05,84,22,5.82,few clouds
196,Half Moon Bay,US,37.4636,-122.4286,72.57,73,100,19.57,overcast clouds
197,Urumqi,CN,43.801,87.6005,65.35,73,0,4.47,clear sky
198,Viedma,AR,-40.8135,-62.9967,57.11,39,0,23.98,clear sky
199,Emerald,AU,-23.5333,148.1667,58.33,71,85,13.71,overcast clouds
200,Namatanai,PG,-3.6667,152.4333,77.63,84,85,7.87,moderate rain
201,Tongling,CN,30.95,117.7833,75.6,84,100,6.98,overcast clouds
202,Tekirdag,TR,40.978,27.5085,70.95,53,65,15.08,broken clouds
203,Paraiso,CR,9.8383,-83.8656,74.26,86,100,1.34,overcast clouds
204,Leningradskiy,RU,69.3833,178.4167,33.78,90,97,8.84,overcast clouds
205,Guanica,PR,17.9716,-66.908,88.11,82,100,16.75,overcast clouds
206,Chuy,UY,-33.6971,-53.4616,63.41,60,100,4.0,light rain
207,Vaitape,PF,-16.5167,-151.75,80.33,69,6,17.34,clear sky
208,Miles City,US,46.4083,-105.8406,65.37,55,0,11.5,clear sky
209,Gimli,CA,50.6336,-96.9907,60.82,72,100,11.5,overcast clouds
210,Irricana,CA,51.3237,-113.6048,66.43,65,30,7.61,scattered clouds
211,Walvis Bay,NA,-22.9575,14.5053,62.1,71,0,6.13,clear sky
212,Mezen,RU,65.8522,44.24,64.9,59,47,4.41,scattered clouds
213,Horta,PT,38.5333,-28.6333,74.84,69,20,17.27,few clouds
214,Laguna,US,38.421,-121.4238,77.02,49,0,8.05,clear sky
215,Porbandar,IN,21.6422,69.6093,87.78,70,40,11.5,scattered clouds
216,Corn Island,NI,12.1694,-83.0418,77.59,85,100,3.13,overcast clouds
217,Kodiak,US,57.79,-152.4072,49.51,81,100,0.0,overcast clouds
218,Nivala,FI,63.9167,24.9667,48.69,98,100,10.45,light rain
219,Najran,SA,17.4924,44.1277,93.85,13,0,6.42,clear sky
220,Rio Cauto,CU,20.5603,-76.9161,90.09,53,100,7.67,overcast clouds
221,Watsa,CD,3.0372,29.5355,69.73,80,69,3.69,broken clouds
222,Haines Junction,CA,60.7522,-137.5108,55.35,71,18,1.14,few clouds
223,Lastoursville,GA,-0.8143,12.7287,74.91,92,30,3.69,moderate rain
224,Baracoa,CU,20.3467,-74.4958,85.03,72,89,5.57,overcast clouds
225,Upernavik,GL,72.7868,-56.1549,35.31,66,35,5.17,scattered clouds
226,Nuuk,GL,64.1835,-51.7216,39.81,75,75,9.22,broken clouds
227,Deniliquin,AU,-35.5333,144.9667,50.27,91,94,4.9,overcast clouds
228,Dunedin,NZ,-45.8742,170.5036,41.81,78,80,1.99,broken clouds
229,Beloha,MG,-25.1667,45.05,67.91,62,65,11.74,broken clouds
230,Ramet,RO,46.3,23.5333,68.59,65,43,2.06,scattered clouds
231,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,21.85,scattered clouds
232,Hay River,CA,60.8156,-115.7999,51.78,82,75,8.05,broken clouds
233,Jalingo,NG,8.8833,11.3667,78.15,88,83,4.29,light rain
234,Mitchell,US,43.7094,-98.0298,77.11,45,0,17.27,clear sky
235,Grindavik,IS,63.8424,-22.4338,54.9,87,75,16.11,broken clouds
236,Qaanaaq,GL,77.484,-69.3632,35.44,66,14,0.56,few clouds
237,Provideniya,RU,64.3833,-173.3,39.38,94,94,10.33,overcast clouds
238,Codrington,AU,-38.2667,141.9667,48.52,95,97,5.32,overcast clouds
239,Bandarbeyla,SO,9.4942,50.8122,77.7,84,99,29.04,overcast clouds
240,Torrington,US,41.8007,-73.1212,69.8,82,100,3.0,overcast clouds
241,Kamen-Rybolov,RU,44.7481,132.0403,55.98,97,58,11.63,broken clouds
