City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
438,Dicabisagan,PH,80.62,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
440,Lincoln,US,85.28,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
442,Waingapu,ID,77.04,few clouds,-9.6567,120.2641,Pondok Wisata Elim
443,Abha,SA,82.22,few clouds,18.2164,42.5053,Abha Hotel
445,Kazerun,IR,88.97,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
446,Numan,NG,81.59,moderate rain,9.4667,12.0333,Zangun Motel
450,Ramsar,IR,78.24,few clouds,36.9226,50.6426,Rasa Residential Hotel
452,Gigmoto,PH,81.64,few clouds,13.7796,124.39,Cj's Travellers Inn
454,Wanning,CN,80.38,overcast clouds,18.8003,110.3967,Paradise Hotel
455,Cadiz,ES,81.82,broken clouds,36.5,-5.75,Hacienda Barriche
459,Kavaratti,IN,83.48,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
465,Caravelas,BR,76.62,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
467,Hargeysa,SO,77.07,overcast clouds,9.56,44.065,City Center Hotel
472,Punta De Piedra,VE,83.68,scattered clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
476,Los Algarrobos,PA,81.01,scattered clouds,8.5,-82.4333,Waterfall Hostel
478,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
479,Wakema,MM,80.96,overcast clouds,16.6,95.1833,Aung Kaday Hotel
480,Winnemucca,US,78.85,clear sky,40.973,-117.7357,Winners Inn Casino
481,Huicheng,CN,77.49,overcast clouds,23.0385,116.2899,Huilai Hotel
482,Palera,IN,83.57,overcast clouds,25.0167,79.2333,Pathak Residency & Garden
485,Marsa Matruh,EG,77.2,few clouds,31.3525,27.2453,Beau Site
487,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
488,Atherton,GB,78.89,broken clouds,53.5237,-2.4935,The Mercury Motel
492,Cao Bang,VN,76.17,overcast clouds,22.6667,106.25,khách sạn 88
493,Sajanan,TN,85.12,clear sky,37.0573,9.2426,Centre de culture du tabac sejenene
496,Gberia Fotombu,SL,81.27,light rain,9.8833,-11.1667,
497,Tortoli,IT,85.82,clear sky,39.9256,9.6572,Hotel La Bitta
499,Lahij,YE,89.1,scattered clouds,13.1667,44.5833,
505,Korla,CN,84.67,overcast clouds,41.7597,86.1469,Gulisitan Hotel
506,Taitung,TW,80.11,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
507,Belmonte,BR,76.48,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
514,Broome,US,76.08,overcast clouds,42.2506,-75.833,Chenango Valley State Park
515,Kontagora,NG,85.15,broken clouds,10.3999,5.4695,Queens Guest Inn
519,Mapimi,MX,83.14,scattered clouds,25.8167,-103.85,Propiedad Lldm
528,Touho,NC,75.83,light rain,-20.7833,165.2333,Auberge Timay Evasion
531,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
532,Pozo Colorado,PY,87.3,few clouds,-23.4923,-58.7972,Hospedaje La Norteña
534,Beatrice,US,83.17,clear sky,40.2681,-96.747,Victorian Inn Beatrice
537,Santa Marinella,IT,87.67,clear sky,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
539,Garowe,SO,88.09,scattered clouds,8.4054,48.4845,Curubo Hotel
540,Khunti,IN,78.91,overcast clouds,23.0833,85.2833,Mohan sharma house
544,Cedar City,US,82.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
549,Hami,CN,84.83,scattered clouds,42.8,93.45,Laoyutang Resort
550,Seara,PT,78.96,overcast clouds,41.1818,-7.8003,Six Senses Douro Valley
552,Muros,ES,75.83,light rain,42.7762,-9.0603,Apartment Av. Castelao
553,Lethem,GY,86.13,scattered clouds,3.3803,-59.7968,Savannah Inn
554,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
557,Matehuala,MX,76.3,broken clouds,23.65,-100.65,Las Palmas Midway Inn
558,Tutoia,BR,86.74,scattered clouds,-2.7619,-42.2744,Pousada Guará's
559,Shelburne,CA,78.12,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
560,Conakry,GN,87.87,broken clouds,9.538,-13.6773,Riviera Royal Hotel
561,Itarema,BR,85.3,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
562,Ikom,NG,75.04,moderate rain,5.9667,8.7063,Reho Farm & Resort
563,Algiers,DZ,84.02,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
564,Phan Thiet,VN,78.71,broken clouds,10.9333,108.1,Hotel Saigon-PT
565,Itatiaia,BR,75.52,clear sky,-22.4961,-44.5633,La Ponsa
566,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
567,Pratapgarh,IN,88.16,broken clouds,24.0333,74.7833,Ratna Hotel
569,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
570,Acarau,BR,85.39,scattered clouds,-2.8856,-40.12,castelo pizzaria
571,Saint Anthony,US,76.82,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
573,Beyneu,KZ,88.11,broken clouds,45.3167,55.2,NUR
574,Lasa,IT,76.37,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
575,Ouesso,CG,76.86,light rain,1.6136,16.0517,ABENIE Hotel
577,Yabrud,SY,76.03,clear sky,33.9674,36.6574,صالة افراح الاندلس
593,Dapdap,PH,80.98,few clouds,12.062,125.4881,Oasis Lodge
605,Carinhanha,BR,86.09,clear sky,-14.3047,-43.765,Hotel União
607,Cururupu,BR,88.5,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
610,Douglas,US,83.95,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
612,Bocaiuva,BR,76.71,clear sky,-17.1078,-43.815,Hotel Maxim's
613,Makakilo City,US,75.18,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
616,El Higo,MX,85.1,scattered clouds,21.7667,-98.4667,La casa de Big Brother
617,Puerto Narino,CO,81.84,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
618,Wiwili,NI,81.1,overcast clouds,13.6268,-85.8254,Hostal Gladys
619,Mangai,CD,75.87,broken clouds,-4.05,19.5333,
621,Balkanabat,TM,85.23,clear sky,39.5108,54.3671,Nebitchi Hotel
624,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
629,Lewiston,US,76.05,scattered clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
630,Padang,ID,76.8,light rain,-0.9492,100.3543,Mercure Padang
631,Labuhan,ID,79.41,scattered clouds,-6.8844,112.2051,DoubleFAG
633,Zaoyang,CN,77.81,few clouds,32.1272,112.7542,Shanghai Hotel
634,Bat Khela,PK,83.91,clear sky,34.6167,71.9714,Electric and pipe fitting
635,Malibu,US,82.71,scattered clouds,34.005,-118.8101,Malibu Country Inn
637,Wanxian,CN,76.64,scattered clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
642,Sinnamary,GF,82.63,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
643,Bassar,TG,78.62,moderate rain,9.25,0.7833,Hôtel KYRIAD
646,Pochutla,MX,83.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
651,Isangel,VU,75.81,heavy intensity rain,-19.55,169.2667,Tanna Lodge
653,Port Said,EG,78.78,clear sky,31.2565,32.2841,Aracan Hotel
654,Finschhafen,PG,76.44,overcast clouds,-6.6024,147.8681,Cossam Guest House
657,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
664,Leninskoye,KZ,76.12,scattered clouds,41.7589,69.3864,Қалдыбайдың үйі 🏘️
665,Acapulco,MX,79.7,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
666,Sabancuy,MX,87.75,clear sky,18.9667,-91.1833,pulpo
668,Honiara,SB,76.03,overcast clouds,-9.4333,159.95,Heritage Park Hotel
673,Puerto Penasco,MX,84.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
676,Umm Lajj,SA,83.46,clear sky,25.0213,37.2685,Moon light Furnished Units
679,Bentiu,SS,86.81,scattered clouds,9.2333,29.8333,Mandela hôtel
682,Anloga,GH,76.89,light rain,5.7947,0.8973,Pin Drop Hotel
688,Bintulu,MY,77.13,overcast clouds,3.1667,113.0333,900 Boutique INN
690,Alofi,NU,78.64,scattered clouds,-19.0595,-169.9187,Taloa Heights
692,Freetown,SL,81.82,broken clouds,8.484,-13.2299,The Country Lodge Hotel
694,Kutum,SD,89.31,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
695,Isla Vista,US,86.34,mist,34.4133,-119.861,Best Western Plus South Coast Inn
696,Xuddur,SO,80.67,overcast clouds,4.1213,43.8894,Banjanay Hotel
698,Bonthe,SL,81.55,light rain,7.5264,-12.505,Bonthe Holiday Village
699,Kaniama,CD,76.84,few clouds,-7.5667,24.1833,
700,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
