City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Yulara,AU,2022-06-15 12:29:53,-25.2406,130.9889,62.73,44,37,6.33
124,Nueva Concepcion,GT,2022-06-15 12:29:53,14.2,-91.3,73.13,94,100,3.4
125,Ordzhonikidze,KZ,2022-06-15 12:29:54,52.4411,61.7408,77.4,32,9,7.02
126,Ayan,RU,2022-06-15 12:29:54,56.45,138.1667,41.54,94,92,5.17
127,Huittinen,FI,2022-06-15 12:29:16,61.1833,22.7,67.41,41,5,14.7
128,Kununurra,AU,2022-06-15 12:29:55,-15.7667,128.7333,60.78,55,50,2.3
129,Broome,US,2022-06-15 12:29:56,42.2506,-75.833,68.07,78,0,1.01
130,Kamenka,RU,2022-06-15 12:29:57,51.3223,42.7678,67.35,86,100,7.11
131,Chifeng,CN,2022-06-15 12:29:57,42.2683,118.9636,68.77,58,74,4.29
132,East London,ZA,2022-06-15 12:29:58,-33.0153,27.9116,58.14,51,20,27.63
133,Kulhudhuffushi,MV,2022-06-15 12:29:58,6.6221,73.07,83.25,76,97,16.33
134,Hofn,IS,2022-06-15 12:29:58,64.2539,-15.2082,53.62,62,100,4.61
135,Durango,MX,2022-06-15 12:28:48,24.8333,-104.8333,67.91,45,61,4.94
136,North Bend,US,2022-06-15 12:25:27,43.4065,-124.2243,49.86,97,40,0.0
137,Rosamorada,MX,2022-06-15 12:31:01,22.1222,-105.2058,76.77,79,55,1.77
138,Alice Springs,AU,2022-06-15 12:30:44,-23.7,133.8833,51.35,62,5,0.0
139,Cayenne,GF,2022-06-15 12:30:29,4.9333,-52.3333,86.09,32,75,2.3
140,Husavik,IS,2022-06-15 12:31:02,66.0449,-17.3389,54.93,62,33,2.66
141,Masterton,NZ,2022-06-15 12:31:03,-40.9597,175.6575,54.88,73,91,7.92
142,Amahai,ID,2022-06-15 12:31:04,-3.3333,128.9167,78.6,86,100,5.37
143,Lamar,US,2022-06-15 12:31:04,33.6668,-95.5836,79.65,83,100,9.22
144,Woodend,NZ,2022-06-15 12:31:05,-43.3167,172.6667,37.94,85,18,3.06
145,Meulaboh,ID,2022-06-15 12:31:05,4.1363,96.1285,75.96,89,100,5.91
146,Paragominas,BR,2022-06-15 12:31:06,-2.9667,-47.4833,81.19,68,98,6.26
147,Veraval,IN,2022-06-15 12:31:06,20.9,70.3667,87.21,72,9,13.29
148,Celendin,PE,2022-06-15 12:31:07,-6.8703,-78.1517,43.32,76,14,1.12
149,Niksic,ME,2022-06-15 12:31:08,42.7731,18.9445,77.67,44,0,4.79
150,Filingue,NE,2022-06-15 12:31:08,14.3521,3.3168,102.2,26,92,9.84
151,Szob,HU,2022-06-15 12:31:09,47.8192,18.8702,81.55,39,65,2.68
152,Fairbanks,US,2022-06-15 12:29:27,64.8378,-147.7164,53.6,83,40,4.61
153,Sawakin,SD,2022-06-15 12:31:10,19.1059,37.3321,92.77,42,70,11.1
154,Alta Gracia,AR,2022-06-15 12:31:10,-31.6529,-64.4283,49.55,36,53,2.39
155,La Ronge,CA,2022-06-15 12:31:11,55.1001,-105.2842,53.85,94,100,6.91
156,Tayu,ID,2022-06-15 12:31:11,-6.5397,111.0518,80.85,84,19,9.1
157,Constitucion,CL,2022-06-15 12:31:12,-35.3333,-72.4167,50.41,85,3,3.11
158,Pacific Grove,US,2022-06-15 12:31:13,36.6177,-121.9166,53.28,91,0,5.01
159,Santiago,CL,2022-06-15 12:31:13,-33.4569,-70.6483,46.85,77,20,1.14
160,Provideniya,RU,2022-06-15 12:31:14,64.3833,-173.3,36.27,87,78,6.78
